title,category,dist,lat,lng,rating,reviewsCount,price
Buffet restaurant,Buffet restaurant,"HMQ5+GP As Suwaidi, Riyadh Saudi Arabia",24.5887438,46.6593659,3.5,12,
California Compound Swimming pool,Swimming pool,"RP5C+WH Qurtubah, Riyadh Saudi Arabia",24.8098571,46.7214106,3.5,13,
Four Seasons Hotel Riyadh At Kingdom Center,,"PM6F+FR Al Olaya, Riyadh Saudi Arabia",24.7111336,46.6745128,4.5,8465,
Gluten-Free Bakery,Bakery,"QMH7+C3 Al Ghadir, Riyadh Saudi Arabia",24.7785794,46.662702,4.2,597,
Tim Hortons,Cafe,"QR38+CQ An Nahdah, Riyadh Saudi Arabia",24.7535362,46.8169479,4.3,761,$$
Intour Qurtoba,,"RP3V+73 Qurtubah, Riyadh Saudi Arabia",24.8031474,46.7426473,3.6,330,
Crowne Plaza Riyadh Al Waha,,"PPRG+V5 Al Wahah, Riyadh Saudi Arabia",24.7422131,46.7254672,4.1,3244,
California Resort,Townhouse complex,"RP6C+54 Qurtubah, Riyadh Saudi Arabia",24.8104106,46.7202612,4.4,361,
Le Méridien Riyadh,,"PMH9+F5 Al Wurud, Riyadh Saudi Arabia",24.728723,46.6679483,4.3,1093,
Crowne Plaza Riyadh Rdc Hotel & Convention,,"PJQM+6R An Nakheel, Riyadh Saudi Arabia",24.7381081,46.6345814,4.5,7239,
Marble Slab Takasusi - ماربل سلاب التخصصي,Ice cream shop,"PJPX+39 Al Mohammadiyyah, Riyadh Saudi Arabia",24.7351845,46.6484793,4.4,1202,$$
Charleys Philly Steak,Cheesesteak restaurant,"QJ4H+GR Al Aqiq, Riyadh Saudi Arabia",24.7562755,46.6295734,3.4,14,
Granada Mall,Shopping mall,"QPJJ+H2 Ghirnatah, Riyadh Saudi Arabia",24.7813982,46.7301076,4.3,37244,
dipndip,Chocolate cafe,"RP5M+MV Qurtubah, Riyadh Saudi Arabia",24.809127,46.734662,3.5,1085,$$$
alBalad,Lebanese restaurant,"PQFH+M9 Ar Rayyan, Riyadh Saudi Arabia",24.7242476,46.7785026,2.9,1297,
Tim hortons,Coffee shop,"QJR6+5R Al Malqa, Riyadh Saudi Arabia",24.7904745,46.6120945,3.9,12,
