title,category,dist,lat,lng,rating,reviewsCount,price
Amigos,Mexican restaurant,"PMHV+M4 Salahuddin, Riyadh Saudi Arabia",24.7292253,46.6928605,4,887,$$
Eataly Riyadh,Italian restaurant,"PP32+GW As Sulimaniyah, Riyadh Saudi Arabia",24.7037765,46.7023451,4.2,3435,$$$
بروستد خلطة الشايب,Restaurant,,24.8073525,46.7372613,3.5,580,$$
Sagar Fast Food,Indian Muslim restaurant,"QMWX+X2 Al Wadi, Riyadh Saudi Arabia",24.7974474,46.6975598,3.8,49,
باجة,Nut store,"RP6M+CH Qurtubah, Riyadh Saudi Arabia",24.8110156,46.733877,4.3,6,
Dustu | دوستو,Chicken restaurant,"RP8G+2M Qurtubah, Riyadh Saudi Arabia",24.8151165,46.7266219,,0,
ماكس اند ماتش,Restaurant,"RP6Q+57 Qurtubah, Riyadh Saudi Arabia",24.8104737,46.7382213,4.7,3,
Red Chilli Restaurant,Modern Indian restaurant,"PP4X+HV Ar Rabwah, Riyadh Saudi Arabia",24.7064025,46.7496567,4.2,3090,$$
Coffee Boutique,Coffee shop,"PQQ2+G3 Ar Rawdah, Riyadh Saudi Arabia",24.738797,46.7500831,3.8,252,
Five Guys,Hamburger restaurant,"QMQ5+RJ Ar Rabi, Riyadh Saudi Arabia",24.7895838,46.6591191,3.9,4325,
Alchemy Coffee Roasters,Coffee shop,"RM32+25 As Sahafah, Riyadh Saudi Arabia",24.8026031,46.6504544,4,1049,
Zafran Indian Bistro,Indian restaurant,"QJ3F+5X Hittin, Riyadh Saudi Arabia",24.7529936,46.6249001,4.3,4187,$$$
Broccoli Pizza & Pasta,Pizza restaurant,"RP6M+HH Qurtubah, Riyadh Saudi Arabia",24.8114589,46.7340356,3.4,349,$$
Origin coffee roasters,Coffee roasters,"QJ99+J9 Hittin, Riyadh Saudi Arabia",24.7690301,46.6184985,3.9,1168,
23M CAFE,Cafe,"PPW5+C9 Al Wahah, Riyadh Saudi Arabia",24.7460119,46.7084723,4.2,457,$$
جلسات شاهي زمان على الجمر,Cafe,"RPQV+2R Al Munsiyah, Riyadh Saudi Arabia",24.8375573,46.7445329,5,3,
Nobu Riyadh Restaurant,Restaurant,"PM4G+G8 Al Olaya, Riyadh Saudi Arabia",24.7062547,46.6757619,3.9,36,
Era Coffee,Cafe,"QJRX+VG As Sahafah, Riyadh Saudi Arabia",24.7922253,46.6488268,4.5,1083,
Glamour Cafe Ladies,Cafe,"RQ83+2F Qurtubah, Riyadh Saudi Arabia",24.8151087,46.7537258,,0,
Dukan Burger,Hamburger restaurant,"QP6V+F5 Al Quds, Riyadh Saudi Arabia",24.7611647,46.7429262,3.8,1520,$$
McCafé AlYarmuk,Cafe,,24.8115892,46.7692523,3.7,22,
TERRA CAFE,Cafe,"PQR2+F2 Al Quds, Riyadh Saudi Arabia",24.7411295,46.7500859,4.4,761,
مؤسسة زهرة الكيف,Coffee store,"RP3H+7F Qurtubah, Riyadh Saudi Arabia",24.8030956,46.7287544,4.2,19,
Zafran Indian Bistro - Levels Mall,Indian restaurant,"QMCG+R3 Almasiaf, Riyadh Saudi Arabia",24.7720056,46.6751491,3.9,2085,$$$
CU Specialty coffee,Cafe,"RM59+HG Ar Rabi, Riyadh Saudi Arabia",24.8089752,46.6687991,3.9,298,
La Brasserie,Restaurant,"MMRM+5J Al Olaya, Riyadh Saudi Arabia",24.6904438,46.6840971,4.5,213,
Java Time,Cafe,"QM6F+42 Al Muruj, Riyadh Saudi Arabia",24.7603485,46.6725921,4.3,2993,$$
9th Street Coffee Roasters ناينث ستريت محمصة ومقهى,Coffee shop,"QM2C+G8 Al Muruj, Riyadh Saudi Arabia",24.7512639,46.6707557,4.5,934,
MYAZU Riyadh,Sushi restaurant,"MPX3+WX As Sulimaniyah, Riyadh Saudi Arabia",24.7000333,46.7048025,4.2,4973,$$$$
Costa Coffee,Coffee shop,"VP3P+R6 King Khalid International Airport, Riyadh Saudi Arabia",24.8545216,46.7355471,5,1,
محمصة ومقهى آن,Coffee shop,"QMVX+VJ Al Wadi, Riyadh Saudi Arabia",24.7947464,46.6990447,4.3,168,
Yogi,Health food restaurant,"PPWF+J9 Al Wahah, Riyadh Saudi Arabia",24.7465693,46.7233868,4.1,957,$$
أحلى الضيافة للقهوة العربية,Coffee shop,"RQHP+F6 Al Munsiyah, Riyadh Saudi Arabia",24.8286396,46.7855429,,0,
dr.CAFE,Coffee shop,"VPC6+Q7 King Khalid International Airport, Riyadh Saudi Arabia",24.8718751,46.7106445,4.4,83,$$
قهوة الطريق - Road Café,Coffee shop,"RQCQ+4P Al Yarmuk, Riyadh Saudi Arabia",24.820265,46.789293,4.2,319,
Volume Coffee Roasters,Cafe,"QJRX+VQ Ar Rabi, Riyadh Saudi Arabia",24.7921935,46.6494343,4.2,1165,$$
Steam Cafe,Cafe,"PPXF+V5 King Abdullah Dt., Riyadh Saudi Arabia",24.7497261,46.7229175,4.3,830,$$
DE JOURNAL CAFÉ دي جورنال,Cafe,,24.7859081,46.7440206,4.5,33,
dr.CAFE COFFEE | د.كيف كافيه,Coffee store,"RQ79+5F Al Munsiyah, Riyadh Saudi Arabia",24.8129315,46.7686597,4.5,61,
Lucid Cafe,Coffee shop,"RM44+3M Alyasmin, Riyadh Saudi Arabia",24.805209,46.656707,4.4,779,
Diet Watchers Main Kitchen,Restaurant,"RQR2+PJ Al Munsiyah, Riyadh Saudi Arabia",24.841924,46.7515615,3.7,40,
Rolllands Coffee,Cafe,"QP2C+XH Al Mughrizat, Riyadh Saudi Arabia",24.752476,46.7213856,3.6,3694,$$$
Self Made Coffee,Coffee shop,,24.7593038,46.6959848,3.9,1394,
The Coffee Address عنوان القهوة,Coffee shop,"QMCQ+4V Almasiaf, Riyadh Saudi Arabia",24.7702573,46.6896519,4.2,696,$$
Maestro Pizza,Pizza restaurant,"QQR8+3C Al Hamra, Riyadh Saudi Arabia",24.7902248,46.7660194,4.1,666,$$
فورتوينز | 4Twins Coffee,Coffee shop,,24.8046039,46.6940421,4.1,138,
KARMA Speciality Coffee,Coffee shop,"RJCX+78 Alyasmin, Riyadh Saudi Arabia",24.8206367,46.6482601,4.1,315,
Halo Restaurant,Filipino restaurant,"MPR6+M7 As Sulimaniyah, Riyadh Saudi Arabia",24.6916731,46.7106515,4.5,90,
Starbucks,Coffee shop,"QPHM+F8 Ghirnatah, Riyadh Saudi Arabia",24.7787057,46.7333759,4,665,$$
Tim Hortons,Coffee shop,"QPMH+7W Ghirnatah, Riyadh Saudi Arabia",24.7831917,46.7297774,4.2,1623,$$
Tanjiah Restaurant,Moroccan restaurant,"QM2F+VW King Fahd, Riyadh Saudi Arabia",24.7521634,46.6748196,3.9,1328,$$$
Covine coffee | قهوة كوفاين,Coffee shop,"QJJX+J2 Ar Rabi, Riyadh Saudi Arabia",24.7815018,46.6475578,4.4,399,
Burgerizzr,Hamburger restaurant,"RQ73+RF Qurtubah, Riyadh Saudi Arabia",24.814545,46.7536675,3.7,535,$$
Joffrey's - جوفريز,Coffee shop,"RMPJ+7R An Narjis, Riyadh Saudi Arabia",24.8356875,46.6820625,1,1,
Steak House,American restaurant,"RMF4+QR Alyasmin, Riyadh Saudi Arabia",24.8243877,46.6570975,4.1,3579,$$$
STARUPS coffee shop,Coffee shop,"RQHM+5F Al Munsiyah, Riyadh Saudi Arabia",24.827875,46.7837488,4.3,9,
Maestro Pizza,Pizza restaurant,"QPFG+XH Al Izdihar, Riyadh Saudi Arabia",24.7748296,46.7264472,4,776,$$
star bucks,Cafe,,24.793469,46.7672351,3.6,86,$$
Kivahan Coffee - كيفاهان عثمان بن عفان,Cafe,"QPH4+3X At Taawun, Riyadh Saudi Arabia",24.7776379,46.7074839,3.7,2738,$$
DNA Coffee Company,Coffee shop,"RM6C+92 An Narjis, Riyadh Saudi Arabia",24.8109441,46.6700148,3.8,653,
Mood Masters Specialty Coffee Roasters & Cafe محمصة ومقهى مود ماسترز للقهوة المختصة,Cafe,"QPMX+R3 Ghirnatah, Riyadh Saudi Arabia",24.7845231,46.7477264,4.3,251,
Baalbek Restaurant,Lebanese restaurant,"PM8P+X2 As Sulimaniyah, Riyadh Saudi Arabia",24.7174269,46.6850346,3.9,1754,$$
wafflelicious™ وافليشز,Coffee store,"RPPQ+8M Qurtubah, Riyadh Saudi Arabia",24.8357908,46.7392162,4.5,227,
November Coffee,Cafe,"QP34+WH An Nuzhah, Riyadh Saudi Arabia",24.7548176,46.7063813,4.2,2891,$$
Acme restaurant,Restaurant,"QPF3+M4 At Taawun, Riyadh Saudi Arabia",24.774249,46.7028195,4,4139,$$
ارتو كافيه | 𝐀𝐑𝐓𝐎 𝐂𝐀𝐅𝐄,Cafe,"RQ92+FR Qurtubah, Riyadh Saudi Arabia",24.8187458,46.7520491,4.7,162,
GO-YA!,Hamburger restaurant,"RPCJ+65 Qurtubah, Riyadh Saudi Arabia",24.8205576,46.7304665,,0,
Burgeronomy,Hamburger restaurant,"RM4V+85 An Nada, Riyadh Saudi Arabia",24.8058397,46.6928701,3.8,761,
Cafeyato,Cafe,"QQFF+MF King Faisal Dt., Riyadh Saudi Arabia",24.7741319,46.7736375,4.3,485,
كافي شوب ناريز,Coffee shop,,24.7950069,46.774236,3.7,40,
dr.CAFE COFFEE,Coffee store,"RM5W+R8 Imam Muhammad Ibn Saud Islamic University, Riyadh Saudi Arabia",24.809535,46.695845,3.9,43,$$
هلا هال,Restaurant,,24.8214082,46.7422074,2,1,
DINE,Restaurant,"RPPQ+59 Qurtubah, Riyadh Saudi Arabia",24.8354776,46.7384643,3.8,682,
Bistro Chino,Chinese restaurant,"QMV4+98 Ar Rabi, Riyadh Saudi Arabia",24.7934096,46.6557786,4,1450,$$$
Half Million,Coffee shop,"RM3V+9Q An Nada, Riyadh Saudi Arabia",24.8034854,46.6944079,4.1,891,
HM,Coffee shop,"RP9J+3W Qurtubah, Riyadh Saudi Arabia",24.81769,46.732257,,0,
Starbucks,Coffee shop,"RQ7G+WM Al Yarmuk, Riyadh Saudi Arabia",24.8147692,46.7766282,4.1,2203,$$
CARS & COFFEE @saudiccc,Cafe,"QPMH+3M Ghirnatah, Riyadh Saudi Arabia",24.7827379,46.7292108,4.9,12,
واحد فول,Breakfast restaurant,"RP2Q+VV Qurtubah, Riyadh Saudi Arabia",24.8022347,46.739639,3.6,1188,
Shake Shack,Hamburger restaurant,"RM59+J7 Ar Rabi, Riyadh Saudi Arabia",24.8091068,46.6681251,3.9,1497,$$$$
Naqaa Al-Amwaj Perfumery and Roasters,Coffee roasters,"RQC2+5F Qurtubah, Riyadh Saudi Arabia",24.8204004,46.7511493,4,96,
Best Pakistani Restaurant,Restaurant,,24.8338656,46.7669209,4.1,44,
The Spot Restaurant,Fine dining restaurant,"QMW4+42 Ar Rabi, Riyadh Saudi Arabia",24.7953092,46.6550889,4.3,50,
نور كافيه,Coffee shop,"QPF5+FQ At Taawun, Riyadh Saudi Arabia",24.7737076,46.7094411,5,2,
4Twins Coffee,Coffee shop,"RQ9J+CH Al Munsiyah, Riyadh Saudi Arabia",24.8185873,46.7814515,4,1393,$$
Town Cafe,Coffee shop,"QMPJ+RR Al Wadi, Riyadh Saudi Arabia",24.7870453,46.6821218,3.9,1008,$$
علياء حمدان فايع ال عتره للوجبات السريعة,Fast food restaurant,"RPFW+7J Qurtubah, Riyadh Saudi Arabia",24.8232273,46.7465143,3.4,26,
Arena cafe & restaurant,Restaurant,"QQH2+H3 Al Hamra, Riyadh Saudi Arabia",24.7790634,46.7502165,4,20,
محمصة ومقهى دبليو للقهوة المختصة,Coffee roasters,"RQ64+48 Qurtubah, Riyadh Saudi Arabia",24.8103358,46.7557961,4.7,45,
البرجر الطازج Fresh Burger,Fast food restaurant,"RPCJ+55 Qurtubah, Riyadh Saudi Arabia",24.8204414,46.7304849,3.9,61,
Tech Speciality Coffee تك قهوة مختصة,Coffee shop,"RM3V+FP An Nada, Riyadh Saudi Arabia",24.8037407,46.6942684,4,431,
Azhar Restaurant,Breakfast restaurant,"QM4M+RM Almasiaf, Riyadh Saudi Arabia",24.7570258,46.6841447,4,1535,$
Shawarmer | شاورمر,Shawarma restaurant,"RP5P+5Q Qurtubah, Riyadh Saudi Arabia",24.8079058,46.7369342,3.7,591,$$
Starbucks,Coffee shop,"QPR2+2G Al Wadi, Riyadh Saudi Arabia",24.790049,46.701279,4.1,972,$$
shiro,Japanese restaurant,"QM98+P2 Al Ghadir, Riyadh Saudi Arabia",24.7693208,46.6650208,4,1823,$$
Camel Step,Coffee roasters,"QM9R+PC At Taawun, Riyadh Saudi Arabia",24.7693689,46.6910858,4.3,6833,$$
The Butcher Shop & Grill,Steak house,"QMJW+CV At Taawun, Riyadh Saudi Arabia",24.7811836,46.697134,4.3,3567,$$$
قهوة انزو enzo coffee,Coffee store,"RP4P+QX Qurtubah, Riyadh Saudi Arabia",24.8069148,46.7374866,4.5,94,
Dose Cafe,Coffee shop,"QP7W+CJ Al Hamra, Riyadh Saudi Arabia",24.7635909,46.7465144,3.9,1854,$$
dr.CAFE COFFEE | V12 Station | د.كيف كافيه,Coffee shop,"RM5R+CQ An Nada, Riyadh Saudi Arabia",24.8085165,46.691989,4.6,29,
TGI Friday's,American restaurant,"RM58+59 Ar Rabi, Riyadh Saudi Arabia",24.8080594,46.6658865,3.9,2180,$$$
ODD CAFE,Cafe,"QMFQ+7H At Taawun, Riyadh Saudi Arabia",24.7731528,46.6889866,4.2,1048,
Paul Bakery & Restaurant,French restaurant,"QMJW+8V At Taawun, Riyadh Saudi Arabia",24.7808259,46.6972348,4,1888,$$$
Sagar Indian Fast Food,Indian restaurant,"QPWV+F6 Ghirnatah, Riyadh Saudi Arabia",24.7962576,46.7432074,3.6,130,
ترسا بيت القهوة / TRSA Coffee House,Cafe,"PPW5+C9 Al Wahah, Riyadh Saudi Arabia",24.7460531,46.7084973,4,202,
Shake Shack,Hamburger restaurant,"QPHM+GG Ghirnatah, Riyadh Saudi Arabia",24.7788228,46.7337867,3.9,1879,$$$$
Gourmet Cafe,Cafe,"QPF3+H5 At Taawun, Riyadh Saudi Arabia",24.7739957,46.7029914,4,6539,$$
The Coffee Address,Cafe,"QMJM+CX Al Wadi, Riyadh Saudi Arabia",24.7810072,46.6849941,4.2,1276,$$
Benihana,Japanese restaurant,"QMJW+62 At Taawun, Riyadh Saudi Arabia",24.7805341,46.6950194,4.1,2999,$$$
Tokyo,Japanese restaurant,"QM85+RQ Al Ghadir, Riyadh Saudi Arabia",24.7669889,46.6594741,4.2,1385,$$$
Shake Shack,Hamburger restaurant,"PMV5+G8 King Fahd, Riyadh Saudi Arabia",24.743762,46.658268,3.9,575,$$$$
Horizone caffee,Coffee shop,,24.8014524,46.7616831,3.9,7,
The Coffee Address,Coffee shop,"QQC4+Q6 Al Hamra, Riyadh Saudi Arabia",24.7719404,46.755546,4.2,672,$$
القهوة المقطرة,Coffee shop,"QQQ5+6X Al Hamra, Riyadh Saudi Arabia",24.7881366,46.7599751,4.1,3570,$$
MW Cafe,Cafe,"QMQH+MW An Nafal, Riyadh Saudi Arabia",24.7891569,46.6797667,4.6,649,
Paul Bakery & Restaurant,French restaurant,"QMC9+PH An Nafal, Riyadh Saudi Arabia",24.7718146,46.6688885,4.2,284,$$$
مخبز تميس وفول,Restaurant,,24.8154457,46.7447642,3.8,35,
Cafe Tale,Cafe,"QPJ4+VG Al Izdihar, Riyadh Saudi Arabia",24.7822237,46.7062983,4.3,1505,$$
Caribou Coffee,Coffee shop,"RM9P+6Q An Narjis, Riyadh Saudi Arabia",24.8180239,46.6869777,4.1,478,$$
Golden salamon restaurant,Seafood restaurant,"QMQH+QV An Nafal, Riyadh Saudi Arabia",24.7894457,46.6797374,3.9,571,
Kudu,Restaurant,"RP9J+4P Qurtubah, Riyadh Saudi Arabia",24.8178002,46.7317931,3.7,592,$$
مجالس ابن محمس,Cafe,"RP8R+J4 Qurtubah, Riyadh Saudi Arabia",24.8165781,46.7402768,4.8,21,
ستاربكس,Coffee shop,"QPHQ+MV Al Hamra, Riyadh Saudi Arabia",24.7792761,46.7398091,3.8,110,$$
Piatto Restaurant,Italian restaurant,"QMCF+MP Almasiaf, Riyadh Saudi Arabia",24.771758,46.6741933,4.2,10063,$$
Chili's,Tex-Mex restaurant,"RM59+MF Ar Rabi, Riyadh Saudi Arabia",24.8091873,46.6686673,3.7,1867,$$$
CORE COFFEE & ROASTERY,Coffee shop,"QP88+C3 Al Mughrizat, Riyadh Saudi Arabia",24.7661033,46.7151978,4.4,120,
abu jbara restaurant ابو جبارة,Falafel restaurant,"RP5P+5V Qurtubah, Riyadh Saudi Arabia",24.8079605,46.737187,3.4,753,$$
SERENE COFFEE ROASTERY,Cafe,"QQM5+5C Al Hamra, Riyadh Saudi Arabia",24.782967,46.7586215,4.6,480,
Kosebasi,Turkish restaurant,"QMJW+CV At Taawun, Riyadh Saudi Arabia",24.7811858,46.6971386,4,3824,$$$
Coffee Boxes,Coffee shop,"QMGP+JX At Taawun, Riyadh Saudi Arabia",24.7765852,46.6874475,4,1318,
برو٩٢ | مقهى ومحمصة للقهوة المختصة,Coffee shop,"RM8Q+Q4 An Nada, Riyadh Saudi Arabia",24.8168976,46.6877874,4,2311,$$
Tai Resturant,Restaurant,"RQ57+WX Al Yarmuk, Riyadh Saudi Arabia",24.8098377,46.7649376,4,3,
Yauatcha Riyadh,Restaurant,"MMRP+2H Al Olaya, Riyadh Saudi Arabia",24.690014,46.6864312,4.7,1192,
CORE COFFEE & ROASTERY,Coffee shop,"RM9P+5M An Narjis, Riyadh Saudi Arabia",24.8179395,46.6867005,4.4,270,
Mizo Eatery,Italian restaurant,"QM85+VQ Al Ghadir, Riyadh Saudi Arabia",24.767212,46.6594941,4.4,7089,$$$
Steak House,American restaurant,"QMCF+QR Almasiaf, Riyadh Saudi Arabia",24.7719406,46.6746027,4.2,8548,$$$
Coffee Aroma,Cafe,"QPJX+9M Al Hamra, Riyadh Saudi Arabia",24.7810304,46.7493634,3.6,528,$$
Pakistani Restaurant,Restaurant,"QMPM+5C Al Wadi, Riyadh Saudi Arabia",24.785455,46.683556,4.1,164,
Dose Cafe,Coffee shop,"RQ6H+3M Al Yarmuk, Riyadh Saudi Arabia",24.8102617,46.7791434,4,402,$$
Dark,Cafe,"RM88+Q8 Alyasmin, Riyadh Saudi Arabia",24.8169197,46.6657848,4.4,361,
كانتون,Delivery Chinese restaurant,"QPJJ+FC Ghirnatah, Riyadh Saudi Arabia",24.7811476,46.7310921,3.6,288,$$
Rahat Hotel (Kerala Restaurant),Indian restaurant,"QMRW+P5 Al Wadi, Riyadh Saudi Arabia",24.79181,46.6954427,3.8,347,$
فايبز | Vibes Coffee,Cafe,"QM7V+M9 At Taawun, Riyadh Saudi Arabia",24.7641799,46.6935174,4.5,467,$$
Shawarma Grove,Restaurant,"RMF4+JR Alyasmin, Riyadh Saudi Arabia",24.8240078,46.657057,3.1,493,
فود تراك عزوز,Coffee shop,"RPJM+6G Qurtubah, Riyadh Saudi Arabia",24.8305652,46.7338718,,0,
ديوانية ليالي العروبة,Tea house,,24.8153854,46.7546613,3.4,44,
موي Mooi,Coffee shop,"QPQM+CC Ghirnatah, Riyadh Saudi Arabia",24.7886294,46.733562,4.9,133,
Caribou Coffee,Coffee shop,,24.7828125,46.7298125,3.4,16,$$
TEATRO,Restaurant,"QPPH+23 Ghirnatah, Riyadh Saudi Arabia",24.7850322,46.7276763,3.8,75,
Java Cafe جافا كافيه,Cafe,"RPPF+M2 King Khalid International Airport, Riyadh Saudi Arabia",24.8366486,46.7227529,4.2,13,
تحالف القهوه,Coffee shop,"PMFC+P2 Al Wurud, Riyadh Saudi Arabia",24.7243084,46.6700508,4.4,2609,
Wayne's Coffee Drive Thru,Coffee shop,"RPWM+VC King Khalid International Airport, Riyadh Saudi Arabia",24.847157,46.7335342,4,63,
ki bahan,Coffee shop,,24.7853957,46.7194325,,0,
Cakeology,Cake shop,"RP4P+PH Qurtubah, Riyadh Saudi Arabia",24.8067745,46.7363832,3.6,8,
Harat Restaurant,Restaurant,"QMCG+W6 Almasiaf, Riyadh Saudi Arabia",24.7723641,46.6756091,4.2,8278,$$$
The Learning Caravan International School,International school,"MMMM+6J Al Olaya, Riyadh Saudi Arabia",24.683023,46.6840203,4.1,26,
Dunkin' Donuts,Cafe,,24.7976362,46.7225556,4,24,$$
P.F. Chang's,Asian fusion restaurant,"QPHM+FQ Ghirnatah, Riyadh Saudi Arabia",24.7786913,46.734377,4.1,3361,
Ecole de Cité Académique française - ECAF,School,,24.796845,46.7399741,2.5,6,
Abdulaziz International School Al-Wadi (مدارس عبد العزيز العالمية - الوادي)‎,School,"QMWP+8H Al Wadi, Riyadh Saudi Arabia",24.7957684,46.6864961,3.7,121,
Ariz palas Restaurant,Restaurant,"RQ83+6Q Al Munsiyah, Riyadh Saudi Arabia",24.815585,46.754445,3.7,1415,$$
Moroccan Taste,Cafe,"RQ7F+GP Al Yarmuk, Riyadh Saudi Arabia",24.8138724,46.7743607,3.1,8,
KFC,Chicken restaurant,"RPJW+2F Qurtubah, Riyadh Saudi Arabia",24.8300599,46.7462667,3.4,739,££
مدارس ابناء المجد,School,"RP3H+4W Qurtubah, Riyadh Saudi Arabia",24.8029008,46.7300365,3.7,26,
Nespresso After Sales,Corporate office,"PP3C+2P As Sulimaniyah, Riyadh Saudi Arabia",24.702542,46.7218457,4,171,
مطعم و مقهى مشاغيث,Restaurant,"RP8M+X4 Qurtubah, Riyadh Saudi Arabia",24.8174958,46.7328495,3.6,7350,$$$
عماوة المونسيه شارع الحله,Cafe,"RQ86+G6 Al Munsiyah, Riyadh Saudi Arabia",24.816378,46.760546,5,2,
Global Education Excellene,School,,24.8296027,46.7355274,,0,
Rabbit Hole experiential lounge,Restaurant,"RMG6+R8 Alyasmin, Riyadh Saudi Arabia",24.8270292,46.6607917,4.5,255,
Dar Al uloom schools,School,"QPX5+MH Al Falah, Riyadh Saudi Arabia",24.799129,46.7088809,2.8,18,
dr.CAFE,Coffee shop,"QPM3+X2 Al Wadi, Riyadh Saudi Arabia",24.7848771,46.7025429,4.1,492,$$
Lorca Cafe,Coffee shop,"QPCC+G2 Al Mughrizat, Riyadh Saudi Arabia",24.7713324,46.720048,4.1,1896,$$
مدارس ماي سكول (مدرستي) | My School,Private educational institution,"QMMQ+2W Al Wadi, Riyadh Saudi Arabia",24.7825339,46.6897747,3.8,49,
دار سارة الباهلي,School,"RP8H+92 Qurtubah, Riyadh Saudi Arabia",24.8159294,46.72755,5,5,
Dream International Schools,International school,"PPW3+F4 An Nuzhah, Riyadh Saudi Arabia",24.7463163,46.7027025,3.6,67,
Modern middle east school,School,,24.7517287,46.8144512,3.9,7,
Riyadh International School,International school,"MPX5+8V As Sulimaniyah, Riyadh Saudi Arabia",24.6982838,46.7096769,4.4,47,
Al Raed International School,School,"QMRR+67 Al Wadi, Riyadh Saudi Arabia",24.7905977,46.69066,3.6,180,
مدارس التعلم النموذجية الأهلية بنات,Special education school,"RQF7+M7 Al Munsiyah, Riyadh Saudi Arabia",24.8241797,46.7632296,3.2,248,
المتوسطة التاسعة والثلاثون بعد المئتان 239,School,,24.7930823,46.7404305,3,2,
Alforsan International Schools For Boys,International school,"QPGC+63 Al Izdihar, Riyadh Saudi Arabia",24.7755043,46.7202143,3.4,77,
Victoria International School,School,"QM8M+P6 Almasiaf, Riyadh Saudi Arabia",24.7667887,46.6831033,3.1,11,
Middle East International School - New Building,School,"QM77+Q3 Al Muruj, Riyadh Saudi Arabia",24.7644388,46.6627295,3.6,26,
مدرسة الابرار النسائية لتحفيظ القرآن الكريم,School,"RP7V+H3 Qurtubah, Riyadh Saudi Arabia",24.8139524,46.742799,4.1,19,
Dar Alulom International School,School,"QPV5+C4 Al Falah, Riyadh Saudi Arabia",24.7935108,46.7078112,2.8,4,
Khadija elementary girl Khuwaylid,School,"RQC2+42 Qurtubah, Riyadh Saudi Arabia",24.8202697,46.7500138,2.1,35,
American International School - AISR,International school,"RJWM+XV Al Aarid, Riyadh Saudi Arabia",24.8474708,46.6346445,3.5,198,
البيت المونسية,School,"RQF3+44 Al Munsiyah, Riyadh Saudi Arabia",24.8228577,46.7529527,,0,
مدرسة سهيل بن ابي صلح,School,"RP7Q+V7 Qurtubah, Riyadh Saudi Arabia",24.814681,46.7381783,,0,
Dar Al Uloom Schools,School,"QPV5+6H Al Falah, Riyadh Saudi Arabia",24.7930678,46.7088997,4.3,3,
مجمع قرطبة المحدّث التعليمي -بنين,School,"RQ74+XG Al Munsiyah, Riyadh Saudi Arabia",24.8148944,46.7563667,3,2,
Ashibilya Primary School,School,,24.7962325,46.736153,4.7,9,
Parking MANARAT AL RIYADH,School,,24.7882382,46.7194197,1.8,5,
Anwar Al-Taleem Interntional School,School,"QM8F+GM Almasiaf, Riyadh Saudi Arabia",24.7663459,46.6741294,4.2,13,
مدرسة طفيل بن عمر الابتدائية,School,,24.8071311,46.7483089,,0,
learning oasis school,School,"QMJJ+PG An Nafal, Riyadh Saudi Arabia",24.7818324,46.6813337,2.4,12,
مدرسة 203 G3,School,"RP8F+W7 Qurtubah, Riyadh Saudi Arabia",24.8173206,46.723156,2.6,5,
Al Motaqadimah International Schools,School,"RMGQ+GM An Narjis, Riyadh Saudi Arabia",24.8263596,46.6891683,3.8,145,
Kingdom Schools,International school,"QMR5+W8 Ar Rabi, Riyadh Saudi Arabia",24.7922874,46.6583221,3.7,260,
Blossoms International School Riyadh,School,"QQ5M+MR King Faisal Dt., Riyadh Saudi Arabia",24.7592214,46.7845545,4.5,73,
الجوهره عبدالمحسن,School,,24.8199899,46.7279582,,0,
Dar Al Uloom Schools,School,"QPW7+M6 Al Falah, Riyadh Saudi Arabia",24.7966511,46.7130719,2.7,79,
المدرسة الفرنسية العالمية بالرياض,School,"RM3R+F3 An Nada, Riyadh Saudi Arabia",24.803633,46.6901783,3.2,78,
134 Secondary School for Girls,School,"QPVW+W6 Ghirnatah, Riyadh Saudi Arabia",24.7948169,46.7456245,3.8,16,
Alruwad School,School,"QPJC+MH Al Izdihar, Riyadh Saudi Arabia",24.7815779,46.7215283,5,1,
المدارس المينا العالميه,School,,24.8291767,46.7354623,5,2,
Knowledge gate training center,Architecture school,"RQ44+HQ Ghirnatah, Riyadh Saudi Arabia",24.8064936,46.7569124,3,4,
Rowad Private Schools 1,School,,24.7834188,46.7260327,,0,
The 18th Elementary School for Girls,School,"RP8F+X9 Qurtubah, Riyadh Saudi Arabia",24.8174493,46.7233904,3.6,22,
مدرسة 212. G3,School,"RQ53+FR Qurtubah, Riyadh Saudi Arabia",24.8086247,46.7545782,,0,
متوسطة عبدالعزيز بن عمير,School,"RP4W+HW Qurtubah, Riyadh Saudi Arabia",24.806385,46.7473415,3.6,41,
ثانوية سلمى بنت زيد,High school,"RQ53+QV Qurtubah, Riyadh Saudi Arabia",24.8094422,46.7547061,4.6,19,
شركة التعلم للتعليم والتدريب,School,"RPGW+J2 Qurtubah, Riyadh Saudi Arabia",24.8265558,46.7451068,2.1,21,
مدارس التعلم قسم الثانوي بنين,High school,"RPGV+MX Qurtubah, Riyadh Saudi Arabia",24.82669,46.7449918,2,47,
Adhwaa Multinational School,School,"RP2W+7M Ghirnatah, Riyadh Saudi Arabia",24.800664,46.7466373,4,1,
Abdullah Khayat Primary School,Elementary school,"RQ72+3V Qurtubah, Riyadh Saudi Arabia",24.812719,46.7521732,3.2,59,
Al Forsan International School For Girls,International school,"QPG8+RX Al Izdihar, Riyadh Saudi Arabia",24.7770129,46.7174557,3.6,249,
Average building,Elementary school,"RP9H+VH Qurtubah, Riyadh Saudi Arabia",24.8196626,46.7289788,3.8,51,
مطعم,Restaurant,"RP8V+5R Qurtubah, Riyadh Saudi Arabia",24.8154659,46.7445745,,0,
