Title,Image,a4gq8eavtxabhaaclfjrmmhfhsrgpd_URL,rating,num_ratings,category,dist,Content2,Title1,Image1,a4gq8eavtxabhaaclfjrmmhfhsrgpd_URL1,mw4etd1,uy71,Content3,zy2y6brwgcyc__divcontains_class_zy2y6brwgcyc,Conten1
صالون شارم - Charm Salon,https://lh5.googleusercontent.com/p/AF1QipOq_RYG2TK2ZEIqgS6cGzIN_WYqss6zur-SGIJr=w360-h411-k-no,https://www.google.com/maps/place/%D8%B5%D8%A7%D9%84%D9%88%D9%86+%D8%B4%D8%A7%D8%B1%D9%85+-+Charm+Salon%E2%80%AD/data=!4m5!3m4!1s0x3e2f03d0850563c1:0xd823059683b49d87!8m2!3d24.6984182!4d46.6822911?authuser=0&hl=ar&rclk=1,5.0,-1,صالون تجميل,"فندق حياة ريجنسي، شارع العليا، العليا، 56th, الرياض 11433 يقع في الطابق الثاني ،",مفتوح حتى ١٠:٠٠ م,,,,,,,,
Healthy Hair Salon,https://lh5.googleusercontent.com/p/AF1QipP0VOliwnoxRFNykd5aqVM4G1Nd0S1EXWlft_3_=w360-h358-k-no,https://www.google.com/maps/place/Healthy+Hair+Salon/data=!4m5!3m4!1s0x3e2f0541340d4815:0xcf34a4f8febaeee!8m2!3d24.6862609!4d46.7463819?authuser=0&hl=ar&rclk=1,4.5,-98,صالون تجميل,6834 طريق عمر بن عبد العزيز الفرعي، 4366,مفتوح حتى ١٠:٠٠ م,,,,,,,,
صالون إحساس هلا salon ehsas hala,https://lh5.googleusercontent.com/69OFetBWOgoZtTu3jcAOTH8TcP_lNlwMBP-3uONY6ow5Nwv1JJJ8QkWIDCP9Wshc=w163-h92-k-no,https://www.google.com/maps/place/%D8%B5%D8%A7%D9%84%D9%88%D9%86+%D8%A5%D8%AD%D8%B3%D8%A7%D8%B3+%D9%87%D9%84%D8%A7+salon+ehsas+hala%E2%80%AD/data=!4m5!3m4!1s0x3e2efe9e347373b5:0x29a69efea6be0b0b!8m2!3d24.8239376!4d46.7481791?authuser=0&hl=ar&rclk=1,3.6,-153,صالون تجميل,سلمان، طريق الأمير محمد بن عبدالعزيز,مفتوح حتى ١٠:٠٠ م,,,,,,,,
مركز ضياء الامل,https://lh5.googleusercontent.com/p/AF1QipOha6V02f0ALa7gnZPBnPnrB0w6_p2nhqWB1qm_=w122-h92-k-no,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B6%D9%8A%D8%A7%D8%A1+%D8%A7%D9%84%D8%A7%D9%85%D9%84%E2%80%AD/data=!4m5!3m4!1s0x3e2eff33c53fd999:0x31d671fb578d4275!8m2!3d24.8173873!4d46.7527836?authuser=0&hl=ar&rclk=1,4.9,-7,صالون تجميل,7900 طريق الشيخ حسن بن حسين بن علي، قرطبة، الرياض 13245 4098،,مفتوح حتى ١٠:٠٠ م,,,,,,,,
دار ران للتزيين النسائي,https://lh3.googleusercontent.com/Gsdu07MwAM8CIRX2PpZM3GavwDhktMGyu91wIbBTPPrD-bk0F8zu1zN6hsyxWIKL2Q=w163-h92-k-no,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%B1%D8%A7%D9%86+%D9%84%D9%84%D8%AA%D8%B2%D9%8A%D9%8A%D9%86+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%E2%80%AD/data=!4m5!3m4!1s0x3e2efdd5251aae33:0x1b8ba9d37eaa003c!8m2!3d24.8073719!4d46.7460232?authuser=0&hl=ar&rclk=1,3.4,-48,صالون تجميل,عبدالله بن مرخان,مفتوح حتى ١٠:٠٠ م,,,,,,,,
حلاق سليمان بن شيحان بن فرحان الطليعه الفضيلي الشمري,https://lh3.googleusercontent.com/thBlV_U5JyY9x71gOv22cje885RHv9FG9vV5aC1bg0CyExe2Vs1UV2LgEcjLb3w=w163-h92-k-no,https://www.google.com/maps/place/%D8%AD%D9%84%D8%A7%D9%82+%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86+%D8%A8%D9%86+%D8%B4%D9%8A%D8%AD%D8%A7%D9%86+%D8%A8%D9%86+%D9%81%D8%B1%D8%AD%D8%A7%D9%86+%D8%A7%D9%84%D8%B7%D9%84%D9%8A%D8%B9%D9%87+%D8%A7%D9%84%D9%81%D8%B6%D9%8A%D9%84%D9%8A+%D8%A7%D9%84%D8%B4%D9%85%D8%B1%D9%8A%E2%80%AD/data=!4m5!3m4!1s0x3e2efc198eb5dc4d:0xb1050b74ff46b042!8m2!3d24.8292366!4d46.7397595?authuser=0&hl=ar&rclk=1,2.5,-2,صالون حلاقة,شارع دباس بن راشد - حي قرطبة,مفتوح حتى ١١:٠٠ م,,,,,,,,
نقطة تجمع للحلاقة,https://lh5.googleusercontent.com/p/AF1QipPcKXcE-uoa7g5fnjB_qpH8Ftb_wg0XS50uANZi=w80-h106-k-no,https://www.google.com/maps/place/%D9%86%D9%82%D8%B7%D8%A9+%D8%AA%D8%AC%D9%85%D8%B9+%D9%84%D9%84%D8%AD%D9%84%D8%A7%D9%82%D8%A9%E2%80%AD/data=!4m5!3m4!1s0x3e2efd4fefd77019:0x23a77f658357a628!8m2!3d24.7962329!4d46.7294458?authuser=0&hl=ar&rclk=1,4.3,-23,صالون حلاقة,QPWH+FQW,,,,,,,,,
OBAL BEAUTY SALON,https://lh5.googleusercontent.com/p/AF1QipNiB7NkeEBbBHzV0ghyFG-8cBt5FdV3vxpfCJs=w122-h92-k-no,https://www.google.com/maps/place/OBAL+BEAUTY+SALON/data=!4m5!3m4!1s0x3e2efe094271c361:0x9a2f6851cf8cd023!8m2!3d24.7854561!4d46.7514962?authuser=0&hl=ar&rclk=1,3.7,-10,صالون تجميل,طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي,,,,,,,,,
مركز مهاتي للتجميل,https://lh5.googleusercontent.com/p/AF1QipNvBZt-Vf_7DMVd31ydr_OknCSx73yzdtuv3fEj=w163-h92-k-no,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D9%87%D8%A7%D8%AA%D9%8A+%D9%84%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84%E2%80%AD/data=!4m5!3m4!1s0x3e2efe6f168340ed:0x9bf6667ac3140570!8m2!3d24.8025194!4d46.7609842?authuser=0&hl=ar&rclk=1,3.6,-68,صالون تجميل,طريق الشيخ حسن بن حسين بن علي,مفتوح حتى ١٠:٠٠ م,,,,,,,,
 المى للتجميل,,,,,صالون تجميل,Prince Mohamed Bin Salman، قرطبة، الرياض 13247,,,,,,,,,
